continent,country_name,population
Africa,"Saint Helena, Ascension and Tristan da Cunha",53192
Africa,Seychelles,121355
Antarctica,Bouvet Island,0
Antarctica,Heard Island and McDonald Islands,0
Asia,Cocos (Keeling) Islands,593
Asia,Christmas Island,1692
Europe,Vatican City,882
Europe,Svalbard and Jan Mayen,2562
North America,Saint Barthélemy,4255
North America,Montserrat,4399
Oceania,Pitcairn Islands,35
Oceania,United States Minor Outlying Islands,300
South America,Falkland Islands,3662
South America,French Guiana,254541
